單字,詞類 (Parts of Speech)
subscribe,v.
tilt,n./v.
sorrowful,adj.
subscription,n.
tiptoe,n./v.
sovereign,adj./n.
subsidize,v.
tiresome,adj.
spacecraft/spaceship,n.
succession,n.
token,n.
span,n./v.
successive,adj.
tornado,n.
sparrow,n.
suffocate,v.
torrent,n.
spectacle,n.
suitcase,n.
trademark,n.
spiral,adj./n./v.
summon,v.
transcript,n.
splendor,n.
superficial,adj.
transmit,v.
transplant,n./v.
treasury,n.
spokeswoman,n.
superstitious,adj.
trek,n./v.
spontaneous,adj.
supplement,n./v.
trifle,n./v.
suppress,v./n.
trillion,n.
surge,n./v.
tropic,n./adj.
sportsmanship,n.
surgical,adj.
trout,n.
spotlight,n./v.
surname,n.
trustee,n.
spur,v./n.
surpass,v.
tuck,v./n.
stabilize,v.
suspense,n.
turmoil,n.
stagger,v./n.
suspension,n.
twilight,n.
staple,n./v.
swamp,n./v.
twinkle,n./v.
starvation,n.
swarm,n./v.
unanimous,adj.
statesman,n.
symbolize,v.
unconditional,adj.
stationary,adj.
symmetry,n.
underestimate,v./n.
stationery,n.
sympathize,v.
stature,n.
symphony,n.
statute,n.
synonym,n.
underpass,n.
stepchild,n.
synthetic,adj./n.
underway,adv.
stepfather,n.
syrup,n.
unification,n.
stepmother,n.
tan,n./adj./v.
unify,v.
stimulation,n.
tedious,adj.
unveil,v.
strait,n.
upright,adv./adj./n.
weary,adj./v.
uprising,n.
wharf,n./v.
upward,adj.
whiskey/whisky,n.
upward/upwards,adv.
wholesale,adj./adv./n./v.
urgency,n.
wholesome,adj.
usher,v./n.
widow/widower,n.
utensil,n.
withhold,v.
utter,adj./v.
woe,n.
vaccine,n.
woodpecker,n.
vanilla,n.
workforce,n.
vanity,n.
wrestle,v./n.
vapor,n.
wrinkle,n./v.
veil,n./v.
yearn,v.
velvet,n./adj.
yoga,n.
versatile,adj.
yogurt,n.
veterinarian/vet,n.
zoom,v./n.
veto,n./v.
vibrate,v.
vibration,n.
vice,n.
victor,n.
vigor,n.
vigorous,adj.
villa,n.
villain,n.
vine,n.
vineyard,n.
violinist,n.
virgin,n./adj.
vitality,n.
vocation,n.
vocational,adj.
vowel,n.
wag,v./n.
walnut,n.
ward,n./v.
wardrobe,n.
warrant,n.
warranty,n.
waterproof,adj./v.
a/an,art.
add,v.
ability,n.
able,adj.
about,prep./adv.
above,prep./adv./adj.
abroad,adv.
across,prep./adv.
act,n./v.
action,n.
actor/actress,n.
afraid,adj.
after,prep./conj./adv.
all,adj./adv./pron./n.
afternoon,n.
again,adv.
age,n./v.
allow,v.
ago,adv.
almost,adv.
and,conj.
agree(ment),v./(n.)
along,prep./adv.
angry,adj.
animal,n.
already,adv.
also,adv.
air,n.
although,conj.
airplane/plane,n.
airport,n.
another,adj./pron.
always,adv.
answer,n./v.
ant,n.
any,pron./adj./adv.
anybody/anyone,pron.
anything,pron.
area,n.
anytime,adv.
arm,n./v.
apartment,n.
around,prep./adv.
appear,v.
arrive,v.
apple,n.
art,n.
at,prep.
as,conj./adv./prep.
attack,n./v.
ask,v.
baby,n.
back,adv./n./v./adj.
aunt,n.
bad,adj.
baseball,n.
bag,n.
basket,n.
basketball,n.
bat,n./v.
bath,n.
ball,n./v.
bathroom,n.
awake,adj./v.
awaken,v.
banana,n.
be,v./aux.
band,n.
beach,n./v.
away,adv.
bank,n./v.
bean,n.
bear,v./n.
awkward,adj.
beautiful,adj.
block,n./v.
because,conj.
between,prep./adv.
become,v.
bed,n.
bedroom,n.
bee,n.
beef,n.
bicycle/bike,n.
blow,v.
big,adj.
blue,adj./n.
before,prep./conj./adv.
board,n./v.
begin,v.
boat,n.
body,n.
bird,n.
behind,prep./adv.
bite,n./v.
believe,v.
bell,n.
belong,v.
black,adj./n.
book,n./v.
below,adv./prep.
belt,n./v.
bench,n.
beside,prep.
bored,adj.
best,adj./adv./v./n.
blind,adj./v.
boring,adj.
born,adj.
borrow,v.
boss,n./v.
both,pron./adv./adj.
bottle,n./v.
bridge,n./v.
bottom,n./adj./v.
bright,adj./adv.
bring,v.
bow,n./v.
bowl,n.
box,n./v.
boy,n.
bus,n.
business,n.
brother,n.
busy,adj.
brown,adj./v./n.
but,conj./prep./adv.
butter,n./v.
brave,adj.
butterfly,n.
button,n./v.
bread,n.
buy,v./n.
break,n./v.
by,prep./adv.
breakfast,n./v.
bug,n./v.
build,v.
car,n.
cake,n.
card,n.
care,n./v.
celebrate,v.
call,v./n.
careful,adj.
cellphone,n.
camera,n.
camp,n./v.
can,aux./n./v.
carrot,n.
carry,v.
cent,n.
center,n.
case,n./v.
certain,adj./pron.
cap,n./v.
cat,n.
chair,n./v.
catch,v./n.
chance,n./v.
change,n./v.
chocolate,n.
choice,n./adj.
class,n./v.
choose,v.
cheap,adj./adv.
check,v./n.
clean,adj./v./adv./n.
clear,adj./v./adv.
church,n.
clerk,n.
cheese,n.
circle,n./v.
climb,v./n.
chicken,n.
clock,n.
child,n.
city,n.
close,adj./adv./v./n.
collect,v.
clothes,n.
cloud,n.
color,n./v.
club,n./v.
come,v.
coat,n./v.
comfortable,adj.
coffee,n.
cold,adj./n.
common,adj./n.
computer,n.
concise,adj.
condense,v.
cow,n.
correct,adj./v.
convenient,adj.
cost,n./v.
couch,n./v.
crazy,adj.
cook,v./n.
count,v./n.
cookie,n.
cool,adj./v./n.
country,n.
copy,n./v.
course,n./v.
corner,n.
cousin,n.
cover,v./n.
deal,n./v.
dear,adj./n./adv.
death,n.
cross,n./v.
customary,adj.
cut,v./n.
cute,adj.
decide,v.
cry,v./n.
dance,n./v.
dangerous,adj.
dark,adj./n.
deep,adj./adv.
cup,n.
date,n./v.
daughter,n.
day,n.
dead,adj.
define,v.
desk,n.
dictionary,n.
die,v.
different,adj.
difficult,adj.
dig,v./n.
dinner,n.
dish,n./v.
dirty,adj./v.
do,aux./v.
doctor/doc,n.
dog,n.
doll,n.
dollar,n.
door,n.
drive,v./n.
driver,n.
drop,v./n.
earth,n.
east,n./adj./adv.
down,adv./prep./adj./n./v.
drum,n./v.
easy,adj.
eat,v.
dry,adj./v.
duck,n./v.
dozen,n.
during,prep.
draw,v./n.
dream,n./v.
dress,n./v.
each,pron./adj./adv.
egg,n.
drink,v./n.
either,adv./pron./adj./conj.
ear,n.
early,adj./adv.
envelope,n.
end,n./v.
elephant,n.
else,adv.
engineer,n.
email,n./v.
eraser,n.
enjoy(ment),v./(n.)
error,n.
enough,adv./adj./n.
enter,v.
explain,v.
excited,adj.
exciting,adj.
even,adv./adj./v.
evening,n.
ever,adv.
every,adj.
everything,pron.
expect,v.
eye,n.
examiner,n.
example,n.
expensive,adj.
experience,n./v.
excellent,adj.
except,prep./conj.
face,n./v.
fact,n.
fat,n./adj.
fight,v./n.
factory,n.
father,n.
file,n./v.
fill,v./n.
fail,v./n.
finally,adv.
find,v./n.
fine,adj./adv./v./n.
finger,n./v.
finish,v./n.
fall,n./v.
fire,n./v.
feed,v./n.
family,n.
feel,v./n.
famous,adj.
fan,n./v.
first,n./adv./adj.
fish,n./v.
far,adv./adj.
farm,n./v.
farmer,n.
festival,n.
few,adj./pron.
fast,adv./adj.
foot,n./v.
for,prep./conj.
foreign,adj.
foreigner,n.
forget,v.
floor,n./v.
fork,n.
free,adj./v./adv.
flower,n./v.
fresh,adj.
fly,v./n.
friend,n.
friendly,adj.
frog,n.
from,prep.
follow,v.
front,adj./n.
food,n.
fruit,n.
fool,n./v.
gate,n.
full,adj.
fun,n.
funny,adj.
future,n./adj.
get,v.
ghost,n.
game,n.
giant,adj./n.
gift,n.
garden,n./v.
hurt,v./n.
knock,v./n.
perhaps,adv.
some,adj./pron.
superintendent,n.
superiority,n.
train,n./v.
