單字,詞類 (Parts of Speech)
responsible,adj.
seesaw,n.
punish(ment),v./(n.)
restroom,n.
seldom,adv.
pupil,n.
result,n./v.
select,v./adj.
puppy,n.
return,v./n.
selection,n.
self,n.
snowy,adj.
strawberry,n.
selfish,adj.
soap,n./v.
stream,n./v.
sense,n./v.
soccer,n.
stress,n./v.
sensitive,adj.
social,adj.
stretch,n./v.
separate,adj./v.
society,n.
strict,adj.
servant,n.
sock(s),n.
strike,n./v.
serve,v.
soda,n.
struggle,n./v.
settle(ment),v./(n.)
soft,adj.
style,n./v.
sex,n.
soil,n.
shame,n./v.
solution,n.
metro,n.
shark,n.
solve,v.
succeed,v.
sheet,n.
somewhat,adv.
success,n.
shelf,n.
sort,n./v.
such,adj./pron.
shell,n.
soul,n.
sudden,adj./n.
shine,v./n.
sour,adj./n./v.
suggest,v.
shock,n./v.
source,n.
suit,n./v.
shoot,v./n.
southern,adj.
suitable,adj.
shopkeeper,n.
soybean,n.
super,adj./adv.
shore,n.
speaker,n.
supper,n.
shot,n.
speech,n.
supply,n./v.
shut,v./adj.
speed,n./v.
support,n./v.
shy,adj.
spelling,n.
suppose,v.
sidewalk,n.
spider,n.
surf,v.
silence,n./v.
spirit,n.
surface,n./v.
silent,adj.
spoon,n.
survival,n.
silly,adj.
sport,n./v.
survive,v.
silver,n./adj.
spot,n./v.
swallow,v./n.
similar,adj.
spread,v./n.
sweater,n.
simply,adv.
stage,n./v.
sweep,v.
single,adj./n./v.
stamp,n./v.
swim,v./n.
skill,n.
standard,adj./n.
swimsuit,n.
skilled,adj.
state(ment),v./(n.)
swing,n./v.
skin,n.
steak,n.
switch,n./v.
sleepy,adj.
steel,n./v.
symbol,n.
slide,n./v.
step,n./v.
system,n.
slip,v./n.
stick,v./n.
tale,n.
slipper(s),n.
stomachache,n.
target,n./v.
smooth,adj./v.
stone,n./v.
task,n./v.
snack,n./v.
storm,n./v.
tax,n./v.
snail,n.
stranger,n.
teapot,n.
tear,n./v.
true,adj./adv./v.
weight,n.
technology,n.
trust,v./n.
western,adj./n.
teens,n.
truth,n.
whale,n.
temperature,n.
tube,n.
whatever,adj./pron.
term,n./v.
turtle,n.
wheel,n.
terrorism,n.
typhoon,n.
whenever,conj./adv.
terrorist,adj.
typical,adj.
wherever,adv./conj.
text,n.
ugly,adj.
whisper,n./v.
textbook,n.
umbrella,n.
whoever,pron.
therefore,adv.
unit,n.
whole,adj./n.
thief,n.
universe,n.
whom,pron.
thirsty,adj.
university,n.
width,n.
thought,n.
unless,conj.
wild,adj./adv./n.
throughout,prep./adv.
upload,v.
willing,adj.
thunder,n./v.
upon,prep.
windy,adj.
thus,adv.
upper,adj.
wine,n.
till,conj./prep.
upset,adj./v./n.
wing,n.
tiny,adj.
upstairs,adv./adj./n.
wire,n.
tire,v./n.
used,adj.
within,prep./adv.
tissue,n.
user,n.
wolf,n.
title,n./v.
usual,adj.
wonder,v./n.
toast,n./v.
vacation,n./v.
wood(s),n.
tofu,n.
valley,n.
wooden,adj.
tone,n.
valuable,adj.
wool,n.
tongue,n.
value,n./v.
workbook,n.
toothache,n.
victory,n.
worm,n./v.
toothbrush,n.
view,n./v.
worse,adj./adv./n.
tour,n./v.
village,n.
worst,adj./adv./n.
toward/towards,prep.
vote,n./v.
worth,adj./n.
track,n./v.
waist,n.
wound,n./v.
trade,n./v.
waiter/waitress,n.
yam,n.
tradition,n.
wallet,n.
youth,n.
traditional,adj.
war,n.
zebra,n.
trap,n./v.
wash,v./n.
trash,n./v.
waste,n./v.
aboard,prep./adv.
travel,n./v.
watermelon,n.
acceptable,adj.
treasure,n./v.
wealth,n.
accurate,adj.
trial,n.
wedding,n.
ache,n./v.
triangle,n.
weekday,n.
achieve(ment),v./(n.)
trick,n./v.
weigh,v.
additional,adj.
admire,v.
audience,n.
bold,adj.
advanced,adj.
automatic,adj.
bomb,n./v.
advantage,n.
automobile/auto,n.
bookcase,n.
adventure,n.
avenue,n.
boot,n./v.
bore,v./n.
bowling,n.
advise,v.
award,n./v.
brake,n./v.
adviser/advisor,n.
aware,adj.
brass,n./adj.
afford,v.
awful,adj.
bravery,n.
breast,n.
background,n.
breath,n.
agriculture,n.
bacon,n.
breathe,v.
airline,n.
bacteria,n.
breeze,n./v.
alley,n.
badly,adv.
brick,n.
almond,n.
baggage,n.
bride,n.
alphabet,n.
bait,n./v.
broadcast,n./v.
amaze(ment),v./(n.)
bamboo,n.
brunch,n.
ambassador,n.
bang,n./v./adv.
bubble,n./v.
ambition,n.
banker,n.
bucket,n.
ambulance,n.
bare,adj./v.
bud,n./v.
angel,n.
barely,adv.
budget,n./v.
announce(ment),v./(n.)
barn,n.
buffalo,n.
anxious,adj.
barrel,n.
buffet,n.
anyhow,adv.
basement,n.
bulb,n.
apart,adv.
bay,n.
bull,n.
apologize,v.
bead,n.
bullet,n.
appeal,n./v.
beam,n./v.
bump,n./v.
approve,v.
beast,n.
bunch,n.
apron,n.
beetle,n.
bundle,n.
armed,adj.
beneath,prep.
bury,v.
arrest,n./v.
benefit,n./v.
bush,n.
ash,n.
berry,n.
buzz,n./v.
aside,adv.
besides,adv./prep.
cabin,n.
assist,v.
bet,v./n.
cable,n./v.
assistant,n.
bind,v.
cafeteria,n.
assume,v.
bitter,adj.
campus,n.
athlete,n.
bleed,v.
canyon,n.
attitude,n.
bless,v.
capable,adj.
attract,v.
bloody,adj.
captain,n.
attractive,adj.
blouse,n.
capture,v./n.
career,n.
collar,n.
cricket,n.
carpenter,n.
collection,n.
criminal,adj./n.
carpet,n./v.
colony,n.
crispy,adj.
carriage,n.
colorful,adj.
crop,n./v.
cart,n./v.
column,n.
crown,n./v.
cast,v./n.
comfort,n./v.
cruel,adj.
casual,adj.
comma,n.
cupboard,n.
